,구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
0,강남구,2780,150.61919504643964,570500.0,565550.0,4950.0,63167.0,0.8676599474145487,11.072217353198951,0.4872918492550394,1388.0553551306025
1,강동구,773,166.49076517150397,453233.0,449019.0,4214.0,54622.0,0.9297646023127176,12.051637899270355,0.17055245315323464,465.42289234547303
2,강북구,748,125.20325203252031,330192.0,326686.0,3506.0,54813.0,1.0618064641178466,16.600341619421428,0.22653486456364785,329.34202601226593
3,강서구,884,134.7938144329897,603772.0,597248.0,6524.0,72548.0,1.080540336418383,12.015794041459358,0.14641288433382138,551.5031545095867
4,관악구,1496,149.29078014184395,525515.0,507203.0,18312.0,68082.0,3.4845817911953034,12.955291475980706,0.2846731301675499,162.94810447431155
5,광진구,707,53.228621291448526,372164.0,357211.0,14953.0,42214.0,4.017852344665255,11.34284885158156,0.18997001321997828,425.29026376827716
6,구로구,1561,64.97373029772329,447874.0,416487.0,31387.0,56833.0,7.007997785091343,12.68950642368166,0.3485355256165797,329.59291834104334
7,금천구,1015,100.0,255082.0,236353.0,18729.0,32970.0,7.3423448146086345,12.925255408064857,0.3979112599085785,35.98929338766743
8,노원구,1265,188.92988929889302,569384.0,565565.0,3819.0,71941.0,0.6707248535259157,12.634882609978506,0.22216992398802915,125.48361767660937
9,도봉구,485,246.63865546218491,348646.0,346629.0,2017.0,51312.0,0.5785237748317777,14.717507156255914,0.13910958393327327,616.5013412593216
10,동대문구,1294,74.76635514018692,369496.0,354079.0,15417.0,54173.0,4.172440297053283,14.661322450040052,0.3502067681382207,165.20258618724188
11,동작구,1091,139.33823529411765,412520.0,400456.0,12064.0,56013.0,2.924464268399108,13.578250751478715,0.2644720255987588,94.12289225587799
12,마포구,574,212.10191082802552,389649.0,378566.0,11083.0,48765.0,2.8443547911068685,12.515109752623514,0.14731206804072386,581.1809989527776
13,서대문구,962,48.5781990521327,327163.0,314982.0,12181.0,48161.0,3.723220535329484,14.720796667104777,0.2940430305382944,111.37656779814779
14,서초구,1930,63.371266002844955,450310.0,445994.0,4316.0,51733.0,0.9584508449734628,11.488308054451377,0.4285936354955475,695.4037944686128
15,성동구,1062,81.78082191780824,311244.0,303380.0,7864.0,39997.0,2.5266350515993885,12.850689491203045,0.3412113968462043,9.464016325504645
16,성북구,1464,63.62735381565908,461260.0,449773.0,11487.0,64692.0,2.490352512682652,14.025061787278323,0.3173914928673633,215.06844701249162
17,송파구,618,104.34782608695652,667483.0,660584.0,6899.0,72506.0,1.0335843759316716,10.862598747833278,0.09258662767441267,900.9113117494901
18,양천구,2034,34.67173087357569,479978.0,475949.0,4029.0,52975.0,0.8394134731175179,11.036964194192233,0.4237694227652101,760.5635124295073
19,영등포구,904,157.97979797979798,402985.0,368072.0,34913.0,52413.0,8.663597900666279,13.006191297442832,0.22432596746777173,268.6400120737669
20,용산구,1624,53.21637426900586,244203.0,229456.0,14747.0,36231.0,6.0388283518220485,14.836427070920505,0.6650204952437112,659.2316901890504
21,은평구,1873,85.23725834797891,494388.0,489943.0,4445.0,72334.0,0.8990914018948679,14.631018552230232,0.3788522375138555,580.6984570100823
22,종로구,1002,248.92241379310346,162820.0,153589.0,9231.0,25425.0,5.669450927404497,15.61540351308193,0.615403513081931,143.77539630973706
23,중구,671,147.6997578692494,133240.0,124312.0,8928.0,20764.0,6.700690483338338,15.583908736115283,0.5036025217652357,148.49952809646675
24,중랑구,660,79.96070726915521,414503.0,409882.0,4621.0,56774.0,1.114829084469835,13.696885185390697,0.15922683309891605,527.7189647677948
